date,Action,symbol,Quantity,Price,close,adj,vol,pos,curval,curcost,curpl,trdnum
2018-03-19,buy,AMZN,1,1539.82,1544.930054,1544.930054,6580800,1,1544.930054,-1544.77,0.16005399999994552,1
2018-03-20,NA,AMZN,0,0,1586.51001,1586.51001,4581600,1,1586.51001,-1544.77,41.740009999999984,NA
2018-03-21,NA,AMZN,0,0,1581.859985,1581.859985,4750800,1,1581.859985,-1544.77,37.08998500000007,NA
2018-03-22,NA,AMZN,0,0,1544.920044,1544.920044,6320600,1,1544.920044,-1544.77,0.15004399999997986,NA
2018-03-23,NA,AMZN,0,0,1495.560059,1495.560059,8006000,1,1495.560059,-1544.77,-49.20994100000007,NA
2018-03-26,NA,AMZN,0,0,1555.859985,1555.859985,5624700,1,1555.859985,-1544.77,11.08998500000007,NA
2018-03-27,NA,AMZN,0,0,1497.050049,1497.050049,6999600,1,1497.050049,-1544.77,-47.71995100000004,NA
2018-03-28,buy,AMZN,1,1441.97,1431.420044,1431.420044,13705300,2,2862.840088,-2991.69,-128.84991200000013,2
2018-03-29,NA,AMZN,0,0,1447.339966,1447.339966,12581100,2,2894.679932,-2991.69,-97.01006800000005,NA
2018-04-02,NA,AMZN,0,0,1371.98999,1371.98999,10463600,2,2743.97998,-2991.69,-247.71002,NA
2018-04-03,NA,AMZN,0,0,1392.050049,1392.050049,10231200,2,2784.100098,-2991.69,-207.58990200000017,NA
2018-04-04,NA,AMZN,0,0,1410.569946,1410.569946,6982300,2,2821.139892,-2991.69,-170.5501079999999,NA
2018-04-05,NA,AMZN,0,0,1451.75,1451.75,6413500,2,2903.5,-2991.69,-88.19000000000005,NA
2018-04-06,NA,AMZN,0,0,1405.22998,1405.22998,5882300,2,2810.45996,-2991.69,-181.23003999999992,NA
2018-04-09,NA,AMZN,0,0,1406.079956,1406.079956,4208200,2,2812.159912,-2991.69,-179.53008799999998,NA
2018-04-10,NA,AMZN,0,0,1436.219971,1436.219971,4254100,2,2872.439942,-2991.69,-119.25005800000008,NA
2018-04-11,NA,AMZN,0,0,1427.050049,1427.050049,3582500,2,2854.100098,-2991.69,-137.58990200000017,NA
2018-04-12,NA,AMZN,0,0,1448.5,1448.5,3135000,2,2897,-2991.69,-94.69000000000005,NA
2018-04-13,NA,AMZN,0,0,1430.790039,1430.790039,3685300,2,2861.580078,-2991.69,-130.1099220000001,NA
2018-04-16,NA,AMZN,0,0,1441.5,1441.5,2808600,2,2883,-2991.69,-108.69000000000005,NA
2018-04-17,NA,AMZN,0,0,1503.829956,1503.829956,5114400,2,3007.659912,-2991.69,15.969912000000022,NA
2018-04-18,NA,AMZN,0,0,1527.839966,1527.839966,5227500,2,3055.679932,-2991.69,63.98993199999995,NA
2018-04-19,NA,AMZN,0,0,1556.910034,1556.910034,6523700,2,3113.820068,-2991.69,122.13006799999994,NA
2018-04-20,NA,AMZN,0,0,1527.48999,1527.48999,5541600,2,3054.97998,-2991.69,63.289980000000014,NA
2018-04-23,NA,AMZN,0,0,1517.859985,1517.859985,4465400,2,3035.71997,-2991.69,44.02997000000005,NA
2018-04-24,buy,AMZN,1,1462.26,1460.089966,1460.089966,7494700,3,4380.2698980000005,-4458.9,-78.63010199999917,3
2018-04-25,NA,AMZN,0,0,1460.170044,1460.170044,6587300,3,4380.510131999999,-4458.9,-78.3898680000002,NA
2018-04-26,NA,AMZN,0,0,1517.959961,1517.959961,8801100,3,4553.879883,-4458.9,94.97988299999997,NA
2018-04-27,NA,AMZN,0,0,1572.619995,1572.619995,13053200,3,4717.859985,-4458.9,258.9599850000004,NA
2018-04-30,NA,AMZN,0,0,1566.130005,1566.130005,5464100,3,4698.390015,-4458.9,239.4900150000003,NA
2018-05-01,NA,AMZN,0,0,1582.26001,1582.26001,4572100,3,4746.78003,-4458.9,287.88003000000026,NA
2018-05-02,NA,AMZN,0,0,1569.680054,1569.680054,4360300,3,4709.040161999999,-4458.9,250.1401619999997,NA
2018-05-03,NA,AMZN,0,0,1572.079956,1572.079956,4251900,3,4716.239868000001,-4458.9,257.33986800000093,NA
2018-05-04,NA,AMZN,0,0,1580.949951,1580.949951,3443600,3,4742.849853,-4458.9,283.9498530000001,NA
